,id,total,quantity,taste,delivery,document,sample_rating
0,371041,5,5.0,5.0,5.0,맛은 미쳤다 정도는 아니고 보통정도.. 하지만 집밥느낌이고 배달빠르고 새벽에 시키기엔 적절한 듯,0
1,371041,5,5.0,5.0,5.0,맛 양 다 빠지지않게 맛있게 먹었습니다.,2
2,371041,5,5.0,5.0,5.0,김볶 꾸준히 잘 먹고있습니다 앞으로도 잘부탁드려요,1
3,371041,5,5.0,5.0,5.0,내가 원했던 일본 가츠동의 맛,0
4,371041,5,5.0,5.0,5.0,너무 맛있어요..!!!진짜 자주시켜먹고싶은맛입니당번창하세요!,2
5,371041,5,5.0,5.0,5.0,진짜 너무 자극적이지도 않고 잘먹었습니다~근데 치즈돈까스는 언제쯤??나올까용 먹고싶네요,1
6,371041,5,5.0,5.0,5.0,맛있게 아주 잘먹었어요 ~^^//,2
7,371041,4,5.0,4.0,5.0,매번 취소되다 오랜만에 주문이 되었습니다.잘 먹었습니다!,0
8,371041,5,5.0,5.0,5.0,배달빠르고 잘 받았습니다,1
9,371041,5,5.0,5.0,5.0,언제나 맛있어요 ㅎㅎ감사합니다또시킬께요,2
10,371041,5,5.0,5.0,5.0,언제나 바로. 하신 밥이랑. 음식 너무너무너무맛있어요여긴 늘 맛있습니다.딱 집밥!!!!!항상 감사합니다,2
11,371041,5,5.0,5.0,5.0,맛있어요!,2
12,371041,5,5.0,5.0,5.0,새벽에도 빠르게 오고 맛있게 먹었습니다 감사합니다,2
13,371041,5,5.0,5.0,5.0,맛있게 잘 먹었습니다,2
14,371041,5,5.0,5.0,5.0,양도 많고 맛있게 잘먹었어요,2
15,371041,5,5.0,5.0,5.0,너무너무너무 맛있어요 ㅎㅎ 감사합니다,2
16,371041,5,5.0,5.0,5.0,👍👍👍👍👍👍👍👍👍👍👍,0
17,371041,5,5.0,5.0,5.0,맛있어요,2
18,371041,5,5.0,5.0,5.0,맛있어요,2
19,371041,5,5.0,5.0,5.0,잘먹었어요 맛있어요,2
20,371041,5,5.0,5.0,5.0,새벽에 자다깨서 너무 배고파서 시켰는데 역시 언제먹어도 맛있네용 사장님이 혼자 직접 다 만드셔서 그런지 집밥처럼 푸근하고 좋아요! 간도 싱겁다는 분들 계시던데 저는 간 딱맞고 집에서 먹는거같아서 늘 여기서만 시켜요!! 짜게 먹으면 몸에 안좋아요🤣 돈까스도 바삭바삭하고 목막힐까봐 우동국물까지 챙겨주시는 센스 ㅎㅎ 사장님 오늘도 영업 잘하시고 푹쉬십쇼!! 감사히 잘먹었습니다!,1
21,371041,5,5.0,5.0,5.0,너무맛있어요 잘 먹었습니다,2
22,371041,3,4.0,3.0,5.0,양파나 소스가 부족..밥이 흰밥들이 남아있고 목이 막힘 이 가격에 이 맛이면 안 먹을듯떡볶이는 맛있으나 먹다보네 오뎅이 정말 많음 오뎅과 떡의 비율이 조금 더 균형을 이루었으면 함,0
23,371041,5,5.0,5.0,5.0,이번달 먹은 음식중 가장 맛있었습니다 가츠동 여럿곳에서 먹어봤는데 가격도 저렴하고 맛도 엄청좋고 돈가스도 두툼하니 좋았고요 국물떡볶이는 가성비고 좋고 맛도좋고 정말 맛있게 먹었습니다 다음에도 시킬듯한 음식점 이네요,2
24,371041,5,5.0,5.0,5.0,맛 있 습 니 다.,0
25,371041,5,5.0,5.0,5.0,너무 맛있게 잘먹었습니다 늘 만족합니다,2
26,371041,5,5.0,5.0,5.0,오늘도 맛있게 잘 먹었습니다!,2
27,371041,5,5.0,5.0,5.0,어제 맛있어서 다른메뉴로 또 시켰어요. 떡볶이는 떡보다 오뎅이많아서 아쉬웠지만 맛있어요.,1
28,371041,5,5.0,5.0,5.0,제육이 단맛이 나네요 맛있어요 돈가스도 바삭하고 두툼해서 맛있어요,2
29,371041,5,5.0,5.0,5.0,최고네요앞으로 여기서만시킬거에요,2
30,371041,5,5.0,5.0,5.0,오! 주문이 되네요. 맛있게 잘 먹었습니다!,2
31,371041,5,5.0,5.0,5.0,잘먹었습니다 감사합니다,2
32,371041,5,5.0,5.0,5.0,잘먹었습니다 감사합니다,2
33,371041,5,5.0,5.0,5.0,잘먹었습니다 감사합니다,2
34,371041,3,3.0,2.0,5.0,걍 대충 먹었다;;;;,0
35,371041,5,5.0,5.0,5.0,맛있습니다!! 가츠동은 무난하게 맛있고 (양파랑 소스가 더 있으면 좋을 거 같아요)떡볶이는 사이드로 시켰는데 의외로 양도 굉장하고 맛도 있어서 놀랐네요.,2
36,371041,5,5.0,5.0,5.0,맛있게 잘먹었습니다.,2
37,371041,5,5.0,5.0,5.0,맛있어요 ㅎㅎ감사합니다 또시킬께요,2
38,371041,5,5.0,5.0,5.0,가성비 ㅆㅅㅌㅊ 김치볶음밥 좀 싱거움. 소금 2꼬집 넣어서 다시 볶으니까 간 딱 맞음,0
39,371041,5,5.0,5.0,5.0,양도 많고 맛있아요~,2
40,371041,5,4.0,4.0,4.0,마시써요마시써요맛맛,0
41,371041,5,5.0,5.0,5.0,가격도 착학고 양도 많고 맛도 좋아요!번창하셔요,2
42,371041,5,5.0,5.0,5.0,맛있어여 너무너무 잘 먹었어요,2
43,371041,5,5.0,5.0,5.0,맛있어요 ㅎㅎ감사합니다 또시킬께요 여기 최고!!!!!!!,2
44,371041,5,5.0,5.0,5.0,잘먹었습니다아아ㅏㅏ,1
45,371041,5,5.0,5.0,5.0,잘 먹었습니다아아ㅏ,0
46,371041,5,5.0,5.0,5.0,맛있어요,2
47,371041,5,5.0,5.0,5.0,새벽 3시~오전 애매한 시간에 시킬 곳이 없었는데 좋은 곳 발견해서 굿,0
48,371041,5,5.0,5.0,5.0,맛있어요,2
49,371041,5,5.0,5.0,5.0,맛있어요 굿굿굿굿 ㅎ,2
50,371041,3,5.0,3.0,2.0,다음에는 김치볶음밥으로 시켜먹어야겠네요,0
51,371041,5,5.0,5.0,5.0,맛은 기본 양도 중요한 우리 집은 세트 보단 단품으로 주문하기로 했습니다. 맛있는 김치볶음밥 주문하러 왔다가 영업 시간이 짧아서 리뷰만 남기고 갑니다.,1
52,371041,5,5.0,5.0,5.0,좋은 음식 만들어주셔서 감삼당,2
53,371041,5,5.0,5.0,5.0,일주일에 3번이나 시킴ㅋㅋ,0
54,371041,5,5.0,5.0,5.0,너무 잘 먹었습니당,0
55,371041,5,5.0,5.0,5.0,항상 가츠동만 시켜먹다가 김치볶음밥은 처음 시켜봤는데 맛있네요.,2
56,371041,5,5.0,5.0,5.0,맛있게 잘 먹었습니다!,2
57,371041,5,5.0,5.0,5.0,잘먹었습니다~~~~,1
58,371041,5,5.0,5.0,5.0,김치볶음밥 맛집! 또 주문할게요 번창하세요,2
59,371041,4,4.0,4.0,4.0,맛있게 잘먹었습니다,2
60,371041,5,5.0,5.0,5.0,김치볶음밥   김치찌개만두전골   너무  맛있습니다   지인  이나  친구에게   적극   추천하고 싶습니다,1
61,371041,4,4.0,4.0,4.0,맛있게 잘먹었어요!,2
62,371041,5,5.0,5.0,5.0,맛있어요 ㅎㅎ감사합니다 또시킬께요,2
63,371041,3,5.0,3.0,5.0,가츠동은 맛있는데.... 우동은 그냥 물에 적셔서 먹는맛이네요.. 우동 5000원은 맛에 비해 너무 비싼것같아요..우동은 너무 맛없네요..,0
64,371041,5,5.0,5.0,5.0,맛있어요 ㅎㅎ감사합니다또시킬께요,2
65,371041,4,4.0,4.0,5.0,배달도 잘 해주시고 맛있게먹었어요!,2
66,371041,5,5.0,5.0,5.0,맛있게 잘 먹었습니다~,2
67,371041,5,5.0,5.0,5.0,오.. 원래 김볶밥 시켜먹던 집이 문을 안열어서 처음 여기서 시켜봣는데 뜻밖의 맛집ㅋㅋㅋ먹고있다가 리뷰 남깁니다 ㅋㅋㅋ 또시킹게요,2
68,371041,5,5.0,4.0,5.0,돈까스와 김말이는 합격 ᆢ떡볶이는  불합격,0
69,371041,5,5.0,5.0,5.0,꿀맛입니아%~~~~,0
70,371041,5,5.0,5.0,5.0,김치볶음밥  돈까스  우동   너무  맛있습니다   지인에게  추천하고 싶습니다,2
71,371041,5,5.0,5.0,5.0,너무 좋습니다! 맛있어요~,2
72,371041,5,5.0,5.0,5.0,김치볶음밥  너무  맛있습니다   국물도  시원하고  좋습니다   친구나  지인에게  적극 추천하고 싶습니다,1
73,371041,5,5.0,5.0,5.0,맛있게 잘먹었어요~~,2
74,371041,5,5.0,5.0,5.0,제육볶음밥이   너무  맛있습니다  친구나  지인에게   적극  추천하고 싶습니다,1
75,371041,2,3.0,2.0,3.0,솔직히 일본식카레라기보단 오뚜기같고요 뭔가 진한맛이없어서 아쉽내요,0
76,371041,5,5.0,5.0,4.0,맛있어요 많이 번창하세요,2
77,371041,5,5.0,5.0,5.0,돈까스랑 카츠동 다맛있어요배송 빨라서 좋아요~,2
78,371041,5,5.0,5.0,5.0,정말 맛있어요!! 카레가 정말 좋습니다,2
79,371041,5,5.0,5.0,5.0,양도적당하고 빨리와서 좋았어요,2
80,371041,3,3.0,2.0,4.0,"음식이 전반적으로 너무 건조함 소스가 짜고 양이 너무 적어서 밥이 너무 남고, 새우튀김 자체도 너무 퍽퍽함 다시는 시켜먹지 않을 맛.",0
81,371041,5,5.0,5.0,5.0,가츠동 항상 엄청 맛있게 먹고있어요 ! 가격도 맛도 양도 다 좋아요 ㅎㅎ,2
82,371041,5,5.0,5.0,5.0,가츠동도 진짜 맛있고 우동도 맛있어요!! 번창하세요!!,2
83,371041,5,5.0,5.0,5.0,우리 아파트상가에 참 맛있는 식당이 있어서 넘 좋습니다^^매운맛은 좀더 매콤했으면.. 그럼 더욱 개운하고 깔끔할듯해요ㅎㅎ매일 같은반찬에 집밥 먹기싫었는데 가끔은 기분전환으로 색다른 음식을 먹는것으로도 힐링~!!^^맛있게 잘~~먹었습니다 👍🤗,1
84,371041,3,5.0,3.0,5.0,12:57분에 주문했는데 1:25분 정도에 도착해서 신속한편이었어요. 우동+가츠동 셋트를 주문했는데 혼자먹기엔 너무 많았어요. 가츠동은 중간정도의 맛을 유지해서 비교적 만족스러웠고요. 우동은 그에 비해 맛이 별로 였어요. 개인적으로는 가츠동 미니우동 셋트로 1만원셋트를 만들고 배달비를 받는것이 더 자주 주문할 수 있을 것 같아요.,2
85,371041,5,5.0,5.0,5.0,맛있게 잘 먹었습니다!,2
86,371041,5,5.0,5.0,1.0,"너무 잘먹었습니다. 겨울시즌에 하는 배달이라 그런지 음식이 식은 감이있지만 음식맛에 문제는 전혀없었습니다. 돈까스도 아주 바삭하고 해물순두부찌개도 해물이라는 이름에 걸맞게 조개도 아주 수두룩하게 많았습니다. 해장으로는 굿입니다. 아! 고기도 살짝살짝 있어서 좋더라구요. 근데 문제점 한가지 배달원이 진짜로 예의가 없고 길찾기 어려워서 전화하셨는데 아무이유없이 퉁명스럽고 화나는말투로 ""아니 제가 거기라구여 길을 가르쳐달라구요!!"" 이런말투로 응대를 하더군요. 배달음식의 끝마무린 배달직원의 서비스까지 완벽하야되는데 아니더군요 참고하세요!",0
87,371041,5,5.0,4.0,5.0,배달 빠르구 맛있었습니다ㅎㅎ근데 우동 국물 조금만 더 진했으면 좋겠어요>_< 맛있어서 다음에 또 주문할 것 같아요😊😊,2
88,371041,5,5.0,5.0,5.0,양도 생각보다 많고 맛도 좋았어요배달도 생각보다 빨랐습니다한 끼 맛있게 감사히 먹었습니다~,2
